feature	community	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Prs.Quant.interleukin-8_measurement	11	0.4991978684084832	0.5118321973054503	11	Prs
surveyHealth.Regularity_of_defecation	11	0.24961005097523278	0.3119474624327894	7	surveyHealth
Meta.M00515	11	0.19260013497820658	0.2646862109832419	2	Meta
Meta.Clostridium_asparagiforme	11	0.259400756777521	0.20606717803051988	5	Meta
Meta.M00563	11	0.1659674715026722	0.20599823018789334	3	Meta
Meta.M00114	11	0.20660119050764988	0.2034617457445631	3	Meta
Meta.M00356	11	0.16596747150267213	0.19791227788094076	3	Meta
Prs.Quant.nicotine_dependence	11	0.19660376068637303	0.19789207585451585	5	Prs
Prs.Disease.psoriatic_arthritis	11	0.19904927206029593	0.19124739050356368	6	Prs
Meta.M00221	11	0.19260013497820655	0.18651689112821862	2	Meta
Meta.M00512	11	0.12839818376311593	0.18249725498155317	1	Meta
Meta.M00099	11	0.22126819935832975	0.18058420833363978	3	Meta
Meta.Haemophilus_parainfluenzae	11	0.17767918079637898	0.16324018921011987	3	Meta
Meta.M00761	11	0.15876664617270336	0.15167613597676294	2	Meta
Meta.M00096	11	0.128398183763116	0.14513183817914313	1	Meta
Meta.M00216	11	0.1467150370967568	0.13299649504044767	2	Meta
Meta.Alistipes_shahii	11	0.11477020759328554	0.12239146380138584	2	Meta
Prs.Disease.psoriasis	11	0.16446453845502793	0.11683549295370604	4	Prs
Meta.M00048	11	0.12839818376311596	0.11548922592820454	1	Meta
Prs.Disease.schizophrenia	11	0.1458983552796123	0.0999323259538321	3	Prs
Prs.Quant.rosacea_severity_measurement	11	0.11806920672396674	0.0982340408419632	3	Prs
Meta.Oscillibacter_unclassified	11	0.07434876497752248	0.09221351215547133	2	Meta
Prs.Disease.polymyositis	11	0.10499532674827385	0.0899412484505341	4	Prs
Prs.Disease.pulmonary_function_measurement	11	0.08089134390933121	0.08738969261908615	3	Prs
Meta.Odoribacter_splanchnicus	11	0.130156652736874	0.08616420291939927	10	Meta
Meta.M00167	11	0.10594504344047648	0.0800855844183198	3	Meta
Meta.Clostridium_leptum	11	0.09640022122062769	0.07634441510197647	4	Meta
Meta.M00358	11	0.06420195121509067	0.07156760942636274	1	Meta
Meta.M00545	11	0.07820300674453402	0.06597369095599961	2	Meta
Prs.Disease.longevity	11	0.07121389004204096	0.05773726832624616	2	Prs
Meta.M00102	11	0.05119726390938655	0.05145926945174139	1	Meta
Prs.Quant.serum_albumin_measurement	11	0.04570068413854965	0.04985614378269811	1	Prs
Prs.Quant.bone_mineral_content_measurement	11	0.0394496842002751	0.04327981908795999	5	Prs
Prs.Disease.chronic_kidney_disease	11	0.03874225939525164	0.03812416329670434	2	Prs
Meta.M00094	11	0.05280584749100628	0.03275830570618682	2	Meta
Meta.Parabacteroides_merdae	11	0.034289816597905365	0.03260521265412635	5	Meta
Meta.M00411	11	0.04087255068357486	0.03258294451823657	2	Meta
Prs.Quant.A1C_measurement	11	0.048388743741231414	0.02951914614714202	3	Prs
Prs.Quant.economic_and_social_preference	11	0.04694367114207734	0.02784334232523647	2	Prs
Meta.Clostridium_citroniae	11	0.03755592364547417	0.02585983726254985	6	Meta
Prs.Quant.emphysema_imaging_measurement	11	0.029339447571695047	0.025557746693466693	2	Prs
Prs.Quant.extraversion	11	0.043854811262684125	0.02540317829729494	3	Prs
Meta.M00616	11	0.027005742835147454	0.024009265516280274	1	Meta
Meta.M00298	11	0.05235512338472583	0.023652053428409144	8	Meta
surveyHealth.Drinking_status	1	0.04083872779402481	0.02251059598590781	4	surveyHealth
Meta.Alistipes_finegoldii	11	0.04462909069704779	0.02186906710845925	6	Meta
Prs.Quant.empathy_measurement	11	0.033477462292419546	0.01947524776862897	1	Prs
Meta.M00354	11	0.020805981550419614	0.01936609153666938	1	Meta
Health.Red_blood_cell_distribution_width_standard_deviation(fL)	11	0.03347746229241958	0.019301515204679966	1	Health
Prs.Disease.neuroblastoma	11	0.035849113022661326	0.018717640084349976	2	Prs
Prs.Quant.glomerular_filtration_rate	11	0.033477462292419546	0.01852440875535582	1	Prs
Prs.Disease.restless_legs_syndrome	11	0.03347746229241957	0.01836385418895654	1	Prs
Prs.Disease.cervical_artery_dissection	11	0.03347746229241957	0.017546054474977955	1	Prs
Prs.Disease.Barrett's_esophagus	11	0.025964703930088717	0.017291464526164074	4	Prs
Prs.Quant.body_mass_index	11	0.02948965579061403	0.014052503609125664	3	Prs
Prs.Quant.irritable_bowel_syndrome	11	0.02543100234772466	0.013053996729847498	3	Prs
Meta.M00037	11	0.020468946010838478	0.013011499140445948	2	Meta
Meta.M00092	11	0.014636588975696977	0.0126655682009024	3	Meta
Meta.Bacteroides_faecis	11	0.01766829017742791	0.012358117394421357	4	Meta
Skin.Number_of_red_areas_on_side_face	11	0.016687896405940726	0.011883883647430447	2	Skin
Prs.Disease.glaucoma	11	0.013424383898026257	0.010587339097644477	2	Prs
Meta.Klebsiella_pneumoniae	11	0.021747287598366943	0.010028887390002817	6	Meta
Meta.M00502	11	0.010146813762431792	0.008548908757633764	1	Meta
Prs.Quant.temperament_and_character_inventory	11	0.008819649384277272	0.008111963774544671	1	Prs
Prs.Quant.urinary_metabolite_measurement	11	0.017072601782287478	0.007395642984534671	2	Prs
Meta.Eubacterium_eligens	11	0.007151471601466497	0.007352712054932102	2	Meta
Prs.Quant.nicotine_dependence_symptom_count	11	0.008819649384277282	0.007089117985902396	1	Prs
Prs.Quant.cardiac_troponin_T_measurement	11	0.01689943234248174	0.007017161935448184	4	Prs
Prs.Quant.FEV/FEC_ratio	11	0.00881964938427729	0.006588449048887592	1	Prs
Prs.Disease.Granulomatosis_with_Polyangiitis	11	0.009659721506822011	0.006142760561707517	1	Prs
Prs.Quant.PR_segment	11	0.0134662088496578	0.005520578902635048	1	Prs
Prs.Quant.tumor_necrosis_factor_beta_measurement	11	0.009659721506822016	0.0051833690280548555	1	Prs
Prs.Quant.lipoprotein-associated_phospholipase_A(2)_measurement	11	0.013466208849657829	0.005008780206419662	1	Prs
Skin.Number_of_brown_spots_on_frontal_face	11	0.01346620884965783	0.0049867626012737995	1	Skin
Prs.Quant.serum_gamma-glutamyl_transferase_measurement	11	0.012292213135900724	0.004686268020762475	2	Prs
Meta.M00080	11	0.007151471601466478	0.004618147980122259	2	Meta
Prs.Quant.macrophage_inflammatory_protein_1a_measurement	11	0.00499685906466321	0.004054546598297048	2	Prs
Meta.M00053	11	0.009220714455979754	0.00393189540318629	1	Meta
Prs.Quant.suntan	11	0.005989866477484391	0.0036813653912169224	2	Prs
Prs.Quant.myeloperoxidase_measurement	11	0.00403136314143507	0.0030205335452469797	2	Prs
Prs.Quant.bone_density	11	0.0064465615608767955	0.002989792574958513	3	Prs
Prs.Quant.optic_disc_area_measurement	11	0.0048663861444582955	0.0028088215437098085	2	Prs
Prs.Quant.interleukin-1_beta_measurement	11	0.005593598062240855	0.0020874110183953113	1	Prs
Prs.Quant.eosinophil_count	11	0.0055935980622408565	0.0020113168946574466	1	Prs
Meta.M00564	11	0.004654619240164389	0.0019563951717527714	2	Meta
Prs.Quant.partial_thromboplastin_time	11	0.0018394228480768213	0.0016858121952180386	1	Prs
Meta.M00745	11	0.004346686067230538	0.0014896286875005695	1	Meta
Meta.M00452	11	0.004346686067230509	0.001400481193562608	1	Meta
Meta.Bacteroides_finegoldii	11	0.00175894251941045	0.0012961028855257549	5	Meta
Prs.Quant.lymphocyte_count	11	0.0018394228480768102	0.0010611864627348595	1	Prs
Meta.M00155	11	0.0015406475575397323	0.0010442900515351295	1	Meta
Meta.M00463	11	0.003161667829453323	0.0009335775190614874	1	Meta
Meta.M00726	11	0.0010369028760080171	0.0008152571034285303	1	Meta
Meta.M00055	11	0.0016581136425373947	0.0008041101129048085	1	Meta
Meta.M00568	11	0.0012516783063006743	0.0007360548855963668	1	Meta
Immune.uniq.Autoimmune_hepatitis	11	0.0016581136425374093	0.0006059915711308631	1	Immune
Prs.Disease.ovarian_carcinoma	11	0.001197209952941818	0.0004316907302204232	1	Prs
Prs.Disease.tonsillectomy_risk_measurement	11	0.0004844664322013909	0.0004047998815001144	2	Prs
Prs.Disease.bipolar_disorder	11	0.00045241584375358014	0.0003395679460546831	1	Prs
Prs.Quant.plasma_beta-amyloid_1-40_measurement	11	0.0004524158437535973	0.0002801931539148262	1	Prs
Prs.Quant.basophil_percentage_of_granulocytes	11	0.00045241584375360367	0.0002710147748652543	1	Prs
Meta.M00509	11	0.00012460912581052286	0.00010993587592004122	1	Meta
