feature	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Prs.Disease.non-melanoma_skin_carcinoma	0.39404552667509024	0.5200232315532534	42	Prs
Prs.Quant.bone_mineral_content_measurement	0.35371812476206194	0.33537363539916926	31	Prs
Prs.Quant.fasting_blood_glucose_measurement	0.33970973054957393	0.2616344819588146	30	Prs
Meta.M00480	0.05899976832703561	0.1606124086199798	3	Meta
Meta.M00459	0.10194014169461262	0.1503395860820669	3	Meta
Meta.M00485	0.11137870717481727	0.1462227074823257	5	Meta
Meta.M00116	0.15337813643464662	0.14613530216756737	4	Meta
Meta.M00563	0.10387121874295957	0.12432316137729613	5	Meta
Meta.M00018	0.05842060723538138	0.12255751605869482	3	Meta
Meta.M00582	0.09517276118028946	0.11797710146702724	2	Meta
Meta.M00089	0.09517276118028946	0.11402546138198509	2	Meta
Meta.M00581	0.0951727611802895	0.11316830062712334	2	Meta
Meta.M00338	0.0951727611802895	0.11252446903933266	2	Meta
Meta.M00144	0.12446445014976348	0.10766381839861076	5	Meta
Meta.M00088	0.10702265770164446	0.10368355618044577	3	Meta
Meta.M00246	0.09517276118028954	0.10355612049531501	2	Meta
Meta.M00007	0.09907041640987004	0.10291355251922042	3	Meta
Meta.M00479	0.09688151733491274	0.10179116406222226	3	Meta
Meta.M00033	0.0584206072353814	0.09961127210219294	3	Meta
Meta.M00009	0.1643891368143556	0.09827934562702405	8	Meta
Meta.Alistipes_shahii	0.05015274643576563	0.09700457920910098	1	Meta
Meta.M00517	0.10880559747725697	0.09637589238275844	3	Meta
Meta.M00356	0.06112357311155038	0.09335404712598003	4	Meta
Meta.M00060	0.10657595332002334	0.0916466553671869	3	Meta
Meta.species_shannon	0.09717096499474179	0.08850602376960409	3	Meta
Meta.M00210	0.10188992601040271	0.08841911472454392	3	Meta
Meta.M00670	0.10188992601040273	0.08676212214520042	3	Meta
Meta.M00234	0.09674527484751763	0.08567666106253197	3	Meta
Meta.M00050	0.05572716352740955	0.08379770472990984	4	Meta
Meta.M00669	0.10188992601040267	0.08321264368614319	3	Meta
Meta.M00840	0.11201943351357437	0.08195091159929636	4	Meta
Meta.M00541	0.05015274643576565	0.081626957518099	1	Meta
Meta.M00279	0.093389821404677	0.08131655788438763	2	Meta
Prs.Disease.triple-negative_breast_cancer	0.143929630398056	0.07923658343825558	12	Prs
Prs.Quant.interleukin-8_measurement	0.11760456183518457	0.07890312016425029	11	Prs
Meta.M00063	0.10322538999888084	0.07842822168305529	3	Meta
Meta.M00091	0.05714723005092918	0.07261188140031384	4	Meta
Meta.M00025	0.05350819987860627	0.0719539847187676	2	Meta
