feature	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Prs.Quant.D_dimer_measurement	0.43276689928921586	0.5273630217098788	37	Prs
Prs.Disease.kidney_stone	0.1966967287434399	0.2327911146923365	17	Prs
Prs.Quant.granulocyte_colony-stimulating_factor_measurement	0.3097152151950793	0.21365782976654843	31	Prs
Prs.Disease.Nephroblastoma	0.18713170005394478	0.1877792762510772	17	Prs
Prs.Quant.serum_gamma-glutamyl_transferase_measurement	0.2706145593935931	0.18313177059744457	28	Prs
Prs.Disease.polycystic_ovary_syndrome	0.15822576360406987	0.16764077992418008	13	Prs
Meta.M00697	0.12246018529290828	0.15853748629478398	5	Meta
Meta.M00325	0.12246018529290832	0.15824974307844564	5	Meta
Meta.M00571	0.12246018529290838	0.1538771100615467	5	Meta
Meta.M00709	0.13634611599471252	0.15195794583396713	5	Meta
Meta.M00326	0.12246018529290834	0.1511505670856196	5	Meta
Meta.M00575	0.12246018529290828	0.1506507975629884	5	Meta
Meta.M00821	0.12246018529290831	0.149341899732119	5	Meta
Meta.M00720	0.11042510985501545	0.14621107529678834	4	Meta
Meta.M00696	0.11042510985501533	0.13993971044279627	4	Meta
Meta.M00339	0.11042510985501536	0.1376689323284958	4	Meta
Meta.M00341	0.09946282620126033	0.12791965195767274	5	Meta
Meta.M00647	0.12940844096141577	0.11783653355618558	4	Meta
Meta.M00458	0.10638765186857259	0.11274732892667054	3	Meta
Meta.M00646	0.12940844096141574	0.11205657523471468	4	Meta
Meta.M00577	0.13762105492744664	0.10780459694414606	5	Meta
Meta.M00573	0.13762105492744675	0.10680542114011382	5	Meta
Meta.M00027	0.11476086479898964	0.10394810132711385	3	Meta
Meta.M00123	0.1376210549274467	0.10364646873795949	5	Meta
Meta.M00124	0.1043674453243312	0.1012778047447952	4	Meta
Meta.M00131	0.12297347876502054	0.09960142733744998	4	Meta
Prs.Quant.blood_osmolality_measurement	0.10624436228635066	0.09838535980236968	9	Prs
Meta.M00741	0.11476086479898967	0.09805848016602767	3	Meta
Meta.M00718	0.10879666238691442	0.0968261112747654	4	Meta
Meta.M00376	0.07022044507953666	0.09535298604135951	2	Meta
Meta.M00373	0.11476086479898967	0.09514700894930037	3	Meta
Meta.M00717	0.10195843480598944	0.09374905339379737	3	Meta
Meta.M00469	0.07226498267719494	0.09278919654348995	3	Meta
Meta.M00613	0.0702204450795367	0.08984993904631415	2	Meta
Meta.M00699	0.10879666238691442	0.08920302451864162	4	Meta
Prs.Disease.unipolar_depression	0.12930724002924698	0.08590929213038277	10	Prs
Meta.M00620	0.08391580705768624	0.08468915842371491	3	Meta
Meta.M00738	0.07226498267719494	0.08406731425943753	3	Meta
Meta.M00005	0.07130394578834064	0.0826697131982296	2	Meta
Meta.M00171	0.07114820563416183	0.07841824242676551	3	Meta
Meta.M00532	0.07022044507953663	0.07656791956564515	2	Meta
Meta.M00036	0.07967715871875769	0.07650779211527942	2	Meta
Meta.M00079	0.05165816614373798	0.07572753320236053	2	Meta
Meta.M00080	0.08674187222396997	0.06724922857161025	3	Meta
Prs.Disease.tooth_agenesis	0.0886559766214053	0.06358641462282971	13	Prs
Meta.M00078	0.08801947118511258	0.05864222760704644	3	Meta
Meta.M00475	0.06997684343680942	0.05637199289360928	3	Meta
Meta.M00179	0.0880194711851126	0.05504115926202147	3	Meta
Meta.M00076	0.09466713004238297	0.0542793495829917	5	Meta
Meta.M00633	0.04969521103448653	0.048264755146219376	2	Meta
Prs.Disease.endometrial_endometrioid_carcinoma	0.07250008012228121	0.046865523192618025	8	Prs
Meta.M00663	0.06698868184735866	0.04288961950872576	5	Meta
Meta.M00392	0.05320257602647937	0.041880433511149326	4	Meta
Meta.M00474	0.0757809055410283	0.04001795287923486	3	Meta
Meta.M00609	0.0657381950978808	0.038091978650173004	2	Meta
Meta.M00178	0.06836627927170412	0.037377485755422754	3	Meta
Meta.M00429	0.0601399145748531	0.036906047324005466	4	Meta
Meta.M00729	0.035083706080232	0.03581923070430599	1	Meta
Meta.M00672	0.06573819509788084	0.03457642171268225	2	Meta
Meta.M00176	0.06690665787711718	0.034036102862749544	3	Meta
Meta.M00008	0.04329632004626293	0.03035795431345128	2	Meta
Meta.M00035	0.03508370608023199	0.02997853023006066	1	Meta
Meta.M00839	0.04512641652337951	0.028621538791135156	2	Meta
Prs.Quant.eyelid_sagging_measurement	0.037418335435412405	0.024139095199111796	6	Prs
Meta.M00368	0.03589958638653062	0.024044342117961724	2	Meta
Meta.M00183	0.03237832904099749	0.023686400337352028	2	Meta
Meta.M00006	0.04329632004626293	0.023314905542245457	2	Meta
Meta.M00034	0.025143633199377853	0.021606830758285536	4	Meta
Meta.M00045	0.027966099131394473	0.02125300700484441	2	Meta
Meta.M00360	0.03237832904099751	0.019248013843659803	2	Meta
Meta.M00359	0.032378329040997494	0.018371170585417363	2	Meta
Health.14_carbon_breath_test(fasting)_qualitative_test_results	0.02326588148948933	0.01807679202582388	3	Health
Meta.M00208	0.030654489017648816	0.017975442481977456	1	Meta
Prs.Quant.fibrinogen_measurement	0.018048959838651447	0.017134951797728025	4	Prs
Meta.M00335	0.03451292213384209	0.01651491283708575	3	Meta
Meta.M00467	0.03458595338457522	0.016510089152716	3	Meta
Prs.Disease.venous_thromboembolism	0.01126688128045723	0.015898227822650244	1	Prs
Meta.M00330	0.012087248040805796	0.01101378432873605	2	Meta
Prs.Quant.hair_colour_measurement	0.023200446771074936	0.00986852103284809	6	Prs
Meta.Escherichia_unclassified	0.013604094300722716	0.009412364322333893	4	Meta
Prs.Quant.orthostatic_hypotension	0.015217875858735271	0.009178008305410448	9	Prs
Meta.M00098	0.014281358782076108	0.00905885978011104	2	Meta
Meta.M00077	0.014281358782076115	0.008827026448866739	2	Meta
Prs.Quant.Ischemic_stroke	0.008190171219885627	0.008051924593513565	2	Prs
Meta.M00308	0.010042710443147515	0.006781012999874884	1	Meta
Prs.Quant.sitting_height_ratio	0.01150610132420953	0.006123132529661189	2	Prs
Meta.M00001	0.009381076745267293	0.005830118170655092	2	Meta
Prs.Quant.refractive_error_measurement	0.005937123156781563	0.005370414505662153	2	Prs
Prs.Disease.systemic_lupus_erythematosus	0.010315064785089598	0.005073635237492119	4	Prs
Prs.Quant.interleukin_5_measurement	0.007202504320975454	0.004645041711088936	3	Prs
Prs.Quant.BMI-adjusted_waist-hip_ratio	0.010861389232361282	0.004504600680924916	3	Prs
Meta.M00122	0.008212613966030919	0.004083063688180202	1	Meta
Prs.Quant.waist-hip_ratio	0.002848203102971569	0.0026866046066533126	1	Prs
Meta.M00478	0.0027170789310359727	0.0021195608791912787	2	Meta
Meta.M00394	0.004351924197171957	0.0016446194722014465	2	Meta
Meta.M00565	0.0025397203296472844	0.0011461790747559918	2	Meta
Prs.Disease.Tourette_syndrome	0.001995031190623011	0.0011143449877895671	3	Prs
Meta.M00499	0.002854075938123993	0.0011131648688364228	2	Meta
Meta.Parabacteroides_merdae	0.0011537523189259055	0.0010620319876025173	2	Meta
Meta.M00742	0.0017238400233486662	0.0009651768788762301	1	Meta
Prs.Disease.osteoarthritis_hip	0.0015410351914215458	0.0008701450267317372	1	Prs
Meta.M00486	0.0017238400233486675	0.0008272591057526143	1	Meta
Meta.M00433	0.0017238400233486656	0.000787453176959439	1	Meta
Meta.M00055	0.0012303489423699794	0.0004760156525862162	1	Meta
Meta.M00355	0.0011684627792363672	0.00042902311326302743	1	Meta
