feature	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Health.Percentage_of_lymphocytes(%)	0.39363799102953034	0.38444058782093743	16	Health
Amino.Phosphoserine(μmol/L)	0.2819010049661406	0.3790995752858945	12	Amino
Health.Neutrophil_percentage(%)	0.3751497109773496	0.33252588649840814	15	Health
Immune.Summary_of_immune_clone_num	0.2027552907970386	0.26857064256013535	6	Immune
Immune.uniq.Cytomegalovirus_(CMV)	0.23325404834983451	0.26742678949395887	6	Immune
Amino.Argininosuccinic_acid(μmol/L)	0.25986876577970003	0.2529109171644029	12	Amino
Immune.uniq.Encounter_for_immunization	0.19419681717281542	0.24428153938186312	4	Immune
Immune.uniq.Pathogens	0.22255311264227332	0.23237098563566594	5	Immune
Immune.uniq.Influenza	0.2225531126422734	0.20190145871963966	5	Immune
Prs.Quant.myeloid_white_cell_count	0.1507333686427617	0.20186828211523072	4	Prs
Prs.Quant.granulocyte_count	0.15073336864276174	0.1930066212970077	4	Prs
Immune.uniq.Epstein-Barr_virus	0.22255311264227343	0.19040811653542267	5	Immune
Vitamin.B5(ng/mL)	0.19136541714796074	0.15338471217615302	6	Vitamin
Immune.uniq.Human_immunodeficiency_virus_(HIV)	0.2048977528803767	0.1396553464908385	5	Immune
Immune.uniq.Hepatitis_C_virus(HCV)	0.10863508316604252	0.13254122656284104	3	Immune
Immune.uniq.Tuberculosis	0.13860758789462033	0.12076431275745572	3	Immune
Prs.Quant.lymphocyte_percentage_of_leukocytes	0.15057437141799704	0.109439502014689	5	Prs
Prs.Quant.neutrophil_percentage_of_leukocytes	0.1474864138266932	0.10336603712994258	4	Prs
Meta.M00572	0.1139180294762308	0.06649309618194928	2	Meta
Meta.M00497	0.12489754356443686	0.06222356188586121	3	Meta
Immune.uniq.Autoimmune	0.0802787876965847	0.06208835174707655	2	Immune
Meta.Eubacterium_ventriosum	0.11653420896059873	0.053657051574232145	3	Meta
Immune.uniq.Yellow_fever_virus	0.04177174909182473	0.0417062607695565	1	Immune
Meta.M00231	0.04569686490274618	0.03679037313385013	3	Meta
Prs.Disease.chronic_lymphocytic_leukemia	0.07221638058316207	0.03444642649813023	3	Prs
Prs.Quant.fatty_acid_measurement	0.07409639583684408	0.030043963514501903	2	Prs
Meta.M00083	0.060258893948156825	0.028798952341196164	2	Meta
Immune.uniq.DENV1	0.04177174909182471	0.026105766935709512	1	Immune
Immune.uniq.Cancer	0.03850703860475991	0.025525257640508336	1	Immune
Immune.uniq.Melanoma	0.049207974312321115	0.02370117194080461	2	Immune
Immune.uniq.M._tuberculosis	0.03850703860475989	0.019767128989899206	1	Immune
Meta.Lachnospiraceae_bacterium_5_1_63FAA	0.022311927775096992	0.015026355886873347	1	Meta
Meta.M00535	0.023784451713696385	0.009841273502343496	2	Meta
Meta.M00725	0.022311927775097	0.009289687814354053	1	Meta
Prs.Quant.vascular_endothelial_growth_factor_measurement	0.017655560081860665	0.00405349218255966	2	Prs
Prs.Quant.growth-regulated_alpha_protein_measurement	0.006923321066313655	0.003241783110474966	2	Prs
Prs.Quant.perceived_unattractiveness_to_mosquitos_measurement	0.013025438954972757	0.0029908209849826436	4	Prs
Meta.M00357	0.0026161794843679404	0.0004236906785456913	1	Meta
Meta.M00500	0.001025889320610701	0.00035601910350155434	1	Meta
Meta.M00778	0.0019300937501211175	0.0003464801766837463	1	Meta
Meta.M00345	0.0019300937501210821	0.00020264500635022305	1	Meta
