feature	community	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Amino.Phosphoethanolamine(μmol/L)	3	0.3385174906501295	0.5004401752760571	5	Amino
Health.Platelet_count(G/L)	3	0.39348378674372725	0.49699820704716874	7	Health
Amino.Taurine(μmol/L)	3	0.3385174906501294	0.41867026826141684	5	Amino
Health.Platelet_volume_ratio(%)	3	0.33952932005691694	0.4179864011575952	6	Health
Health.Platelet_distribution_width(fL)	3	0.3110597392243977	0.18413491376857752	5	Health
Health.Average_platelet_volume(fL)	3	0.3110597392243977	0.1799211921426059	5	Health
surveyHealth.Drinking_status	1	0.17445627155690363	0.15908571146082706	3	surveyHealth
Prs.Quant.platelet_crit	3	0.1646354391564827	0.1172309531012706	2	Prs
Health.Total_number_of_lymphocytes(G/L)	3	0.1520626990657399	0.10762474734539117	2	Health
Prs.Quant.PR_interval	3	0.3205335678939116	0.10279667019744453	5	Prs
Prs.Quant.platelet_component_distribution_width	3	0.24022368121045848	0.09484306776683425	4	Prs
Prs.Quant.mean_platelet_volume	3	0.14715178297242879	0.09477287238217541	3	Prs
Prs.Quant.platelet_count	3	0.17504003390509773	0.08168916355264912	3	Prs
Meta.M00513	3	0.04372569421313165	0.01161347280870059	2	Meta
Meta.Alistipes_indistinctus	3	0.046324803218310534	0.01060105369706022	3	Meta
Meta.M00467	3	0.03305043005037847	0.008108651851992835	1	Meta
Meta.M00377	3	0.053954466686810434	0.007435500076391239	1	Meta
ECG.P-R_interval	3	0.0719921434214689	0.007174034739862025	1	ECG
Prs.Quant.infant_body_height	3	0.02022542714903604	0.002331647029266468	2	Prs
Prs.Quant.sex_hormone-binding_globulin_measurement	3	0.010988357096809452	0.0008131412637747069	2	Prs
Meta.Bacteroides_vulgatus	3	0.0025991090051788175	6.153557104143782e-05	2	Meta
Prs.Quant.total_cholesterol_measurement	3	0.0005837623481942193	4.728899217478844e-06	1	Prs
