feature	community	eigenvector_centrality	weighted_eigenvector_centrality	degree	source
Amino.3-methylhistidine(μmol/L)	0	0.30449558154964923	0.6305827700058095	3	Amino
Health.Serum_creatinine(μmol/L)	0	0.394167115640083	0.5249118261715351	7	Health
Health.Blood_urea_nitrogen_BUN(mmol/L)	0	0.4263880540967214	0.4547003987520902	6	Health
Vitamin.A(ng/mL)	0	0.39866804801428024	0.17064729720730415	5	Vitamin
Amino.Phenylalanine(μmol/L)	0	0.28304847572480435	0.1334454686296518	3	Amino
Inbody.Extracellular_water_ratio_analysis	0	0.31279222268329177	0.12397022860527296	4	Inbody
Amino.1-Methylhistidine(μmol/L)	0	0.30449558154964906	0.11895843957486868	3	Amino
Amino.Hydroxyproline(μmol/L)	0	0.24812541881668387	0.11580434168723613	3	Amino
Phy.Sit-up/Push_up_Test	0	0.09844148582239234	0.1121982208729086	1	Phy
Amino.Ethanolamine(μmol/L)	0	0.09844148582239245	0.10298571359797648	1	Amino
Phy.Vertical_jump_Test	0	0.17655995368247626	0.06677741829890615	2	Phy
Meta.M00518	0	0.16845674295531027	0.05067745161969192	2	Meta
